zip,type,decommissioned,primary_city,state,county,timezone,country,latitude,longitude,irs_estimated_population
766,STANDARD,0,Villalba,PR,Villalba Municipio,America/Puerto_Rico,US,18.13,-66.48,0
767,STANDARD,0,Yabucoa,PR,Yabucoa Municipio,America/Puerto_Rico,US,18.04,-65.87,0
769,STANDARD,0,Coamo,PR,Coamo Municipio,America/Puerto_Rico,US,18.08,-66.36,0
771,STANDARD,0,Las Piedras,PR,Las Piedras Municipio,America/Puerto_Rico,US,18.18,-65.86,0
772,STANDARD,0,Loiza,PR,Loiza Municipio,America/Puerto_Rico,US,18.43,-65.88,0
773,STANDARD,0,Luquillo,PR,Luquillo Municipio,America/Puerto_Rico,US,18.37,-65.71,0
775,PO BOX,0,Culebra,PR,Culebra Municipio,America/Puerto_Rico,US,18.33,-65.3,0
777,STANDARD,0,Juncos,PR,Juncos Municipio,America/Puerto_Rico,US,18.22,-65.91,0
778,STANDARD,0,Gurabo,PR,Gurabo Municipio,America/Puerto_Rico,US,18.25,-65.97,0
780,STANDARD,0,Coto Laurel,PR,Ponce Municipio,America/Puerto_Rico,US,18.09,-66.57,0
782,STANDARD,0,Comerio,PR,Comerio Municipio,America/Puerto_Rico,US,18.22,-66.22,0
783,STANDARD,0,Corozal,PR,Corozal Municipio,America/Puerto_Rico,US,18.34,-66.31,0
784,STANDARD,0,Guayama,PR,Guayama Municipio,America/Puerto_Rico,US,17.97,-66.11,0
785,PO BOX,0,Guayama,PR,,America/Puerto_Rico,US,17.97,-66.11,0
786,PO BOX,0,La Plata,PR,Aibonito Municipio,America/Puerto_Rico,US,18.16,-66.23,0
791,STANDARD,0,Humacao,PR,Humacao Municipio,America/Puerto_Rico,US,18.15,-65.81,0
792,PO BOX,0,Humacao,PR,,America/Puerto_Rico,US,18.15,-65.81,0
794,STANDARD,0,Barranquitas,PR,Barranquitas Municipio,America/Puerto_Rico,US,18.18,-66.3,0
795,STANDARD,0,Juana Diaz,PR,Juana Diaz Municipio,America/Puerto_Rico,US,18.05,-66.5,0
801,PO BOX,0,St Thomas,VI,,America/St_Thomas,US,18.35,-64.93,0
802,STANDARD,0,St Thomas,VI,,America/St_Thomas,US,18.35,-64.93,0
803,PO BOX,0,St Thomas,VI,,America/St_Thomas,US,18.35,-64.93,0
804,PO BOX,0,St Thomas,VI,,America/St_Thomas,US,18.35,-64.93,0
805,PO BOX,0,St Thomas,VI,,America/St_Thomas,US,18.34,-64.93,0
820,STANDARD,0,Christiansted,VI,,America/St_Thomas,US,17.74,-64.7,0
821,PO BOX,0,Christiansted,VI,,America/St_Thomas,US,17.74,-64.7,0
822,PO BOX,0,Christiansted,VI,,America/St_Thomas,US,17.74,-64.7,0
823,PO BOX,0,Christiansted,VI,,America/St_Thomas,US,17.74,-64.7,0
824,PO BOX,0,Christiansted,VI,,America/St_Thomas,US,17.74,-64.7,0
830,STANDARD,0,St John,VI,,America/St_Thomas,US,18.33,-64.79,0
831,PO BOX,0,St John,VI,,America/St_Thomas,US,18.33,-64.79,0
840,STANDARD,0,Frederiksted,VI,,America/St_Thomas,US,17.71,-64.88,0
841,PO BOX,0,Frederiksted,VI,,America/St_Thomas,US,17.71,-64.88,0
850,STANDARD,0,Kingshill,VI,,America/St_Thomas,US,17.76,-64.82,0
851,PO BOX,0,Kingshill,VI,,America/St_Thomas,US,17.73,-64.8,0
901,STANDARD,0,San Juan,PR,San Juan Municipio,America/Puerto_Rico,US,18.47,-66.1,0
902,PO BOX,0,San Juan,PR,,America/Puerto_Rico,US,18.4,-66.06,0
906,PO BOX,0,San Juan,PR,San Juan Municipio,America/Puerto_Rico,US,18.46,-66.09,0
907,STANDARD,0,San Juan,PR,San Juan Municipio,America/Puerto_Rico,US,18.45,-66.08,0
908,PO BOX,0,San Juan,PR,,America/Puerto_Rico,US,18.4,-66.06,0
909,STANDARD,0,San Juan,PR,San Juan Municipio,America/Puerto_Rico,US,18.44,-66.07,0
910,PO BOX,0,San Juan,PR,,America/Puerto_Rico,US,18.4,-66.06,0
911,STANDARD,0,San Juan,PR,San Juan Municipio,America/Puerto_Rico,US,18.45,-66.06,0
912,STANDARD,0,San Juan,PR,San Juan Municipio,America/Puerto_Rico,US,18.45,-66.06,0
913,STANDARD,0,San Juan,PR,San Juan Municipio,America/Puerto_Rico,US,18.45,-66.04,0
914,PO BOX,0,San Juan,PR,,America/Puerto_Rico,US,18.4,-66.06,0
915,STANDARD,0,San Juan,PR,San Juan Municipio,America/Puerto_Rico,US,18.44,-66.05,0
916,PO BOX,0,San Juan,PR,,America/Puerto_Rico,US,18.4,-66.06,0
917,STANDARD,0,San Juan,PR,San Juan Municipio,America/Puerto_Rico,US,18.42,-66.05,0
918,STANDARD,0,San Juan,PR,San Juan Municipio,America/Puerto_Rico,US,18.42,-66.07,0
919,PO BOX,0,San Juan,PR,,America/Puerto_Rico,US,18.4,-66.06,0
920,STANDARD,0,San Juan,PR,San Juan Municipio,America/Puerto_Rico,US,18.41,-66.09,0
921,STANDARD,0,San Juan,PR,San Juan Municipio,America/Puerto_Rico,US,18.39,-66.09,0
922,PO BOX,0,San Juan,PR,,America/Puerto_Rico,US,18.4,-66.06,0
923,STANDARD,0,San Juan,PR,San Juan Municipio,America/Puerto_Rico,US,18.41,-66.04,0
924,STANDARD,0,San Juan,PR,San Juan Municipio,America/Puerto_Rico,US,18.4,-66.01,0
925,STANDARD,0,San Juan,PR,San Juan Municipio,America/Puerto_Rico,US,18.4,-66.05,0
926,STANDARD,0,San Juan,PR,San Juan Municipio,America/Puerto_Rico,US,18.35,-66.05,0
927,STANDARD,0,San Juan,PR,San Juan Municipio,America/Puerto_Rico,US,18.4,-66.06,0
928,PO BOX,0,San Juan,PR,,America/Puerto_Rico,US,18.4,-66.06,0
929,PO BOX,0,San Juan,PR,San Juan,America/Puerto_Rico,US,18.4,-66.06,0
930,PO BOX,0,San Juan,PR,,America/Puerto_Rico,US,18.4,-66.06,0
931,PO BOX,0,San Juan,PR,San Juan,America/Puerto_Rico,US,18.4,-66.06,0
933,PO BOX,0,San Juan,PR,San Juan,America/Puerto_Rico,US,18.4,-66.06,0
934,STANDARD,0,Fort Buchanan,PR,Guaynabo Municipio,America/Puerto_Rico,US,18.41,-66.12,0
935,UNIQUE,0,San Juan,PR,San Juan,America/Puerto_Rico,US,18.4,-66.06,0
936,PO BOX,0,San Juan,PR,San Juan Municipio,America/Puerto_Rico,US,18.4,-66.07,0
937,PO BOX,0,San Juan,PR,San Juan,America/Puerto_Rico,US,18.4,-66.06,0
939,UNIQUE,0,San Juan,PR,San Juan,America/Puerto_Rico,US,18.4,-66.06,0
940,PO BOX,0,San Juan,PR,,America/Puerto_Rico,US,18.4,-66.06,0
949,STANDARD,0,Toa Baja,PR,Toa Baja Municipio,America/Puerto_Rico,US,18.44,-66.25,0
950,PO BOX,0,Toa Baja,PR,Dorado Municipio,America/Puerto_Rico,US,18.46,-66.23,0
951,PO BOX,0,Toa Baja,PR,Toa Baja Municipio,America/Puerto_Rico,US,18.43,-66.25,0
952,STANDARD,0,Sabana Seca,PR,Toa Baja Municipio,America/Puerto_Rico,US,18.42,-66.19,0
953,STANDARD,0,Toa Alta,PR,Toa Alta Municipio,America/Puerto_Rico,US,18.39,-66.25,0
954,PO BOX,0,Toa Alta,PR,Toa Alta,America/Puerto_Rico,US,18.39,-66.25,0
955,PO BOX,0,San Juan,PR,San Juan,America/Puerto_Rico,US,18.4,-66.06,0
956,STANDARD,0,Bayamon,PR,Bayamon Municipio,America/Puerto_Rico,US,18.32,-66.17,0
957,STANDARD,0,Bayamon,PR,Bayamon Municipio,America/Puerto_Rico,US,18.37,-66.19,0
958,PO BOX,0,Bayamon,PR,Bayamon,America/Puerto_Rico,US,18.28,-66.13,0
959,STANDARD,0,Bayamon,PR,Bayamon Municipio,America/Puerto_Rico,US,18.39,-66.15,0
960,PO BOX,0,Bayamon,PR,Bayamon Municipio,America/Puerto_Rico,US,18.42,-66.15,0
961,STANDARD,0,Bayamon,PR,Bayamon Municipio,America/Puerto_Rico,US,18.41,-66.17,0
962,STANDARD,0,Catano,PR,Catano Municipio,America/Puerto_Rico,US,18.44,-66.15,0
963,PO BOX,0,Catano,PR,Catano,America/Puerto_Rico,US,18.43,-66.11,0
965,STANDARD,0,Guaynabo,PR,Guaynabo Municipio,America/Puerto_Rico,US,18.43,-66.11,0
966,STANDARD,0,Guaynabo,PR,Guaynabo Municipio,America/Puerto_Rico,US,18.4,-66.12,0
968,STANDARD,0,Guaynabo,PR,Guaynabo Municipio,America/Puerto_Rico,US,18.41,-66.1,0
969,STANDARD,0,Guaynabo,PR,Guaynabo Municipio,America/Puerto_Rico,US,18.38,-66.11,0
970,PO BOX,0,Guaynabo,PR,,America/Puerto_Rico,US,18.38,-66.11,0
971,STANDARD,0,Guaynabo,PR,Guaynabo Municipio,America/Puerto_Rico,US,18.32,-66.12,0
975,UNIQUE,0,San Juan,PR,San Juan,America/Puerto_Rico,US,18.4,-66.06,0
976,STANDARD,0,Trujillo Alto,PR,Trujillo Alto Municipio,America/Puerto_Rico,US,18.36,-66.01,0
977,PO BOX,0,Trujillo Alto,PR,,America/Puerto_Rico,US,18.36,-66.01,0
978,PO BOX,0,Saint Just,PR,San Juan,America/Puerto_Rico,US,18.37,-66.01,0
979,STANDARD,0,Carolina,PR,Carolina Municipio,America/Puerto_Rico,US,18.44,-66.03,0
981,PO BOX,0,Carolina,PR,Carolina,America/Puerto_Rico,US,18.4,-65.98,0
982,STANDARD,0,Carolina,PR,Carolina Municipio,America/Puerto_Rico,US,18.41,-65.99,0
983,STANDARD,0,Carolina,PR,Carolina Municipio,America/Puerto_Rico,US,18.4,-65.98,0
984,PO BOX,0,Carolina,PR,Carolina,America/Puerto_Rico,US,18.4,-65.98,0
985,STANDARD,0,Carolina,PR,Carolina Municipio,America/Puerto_Rico,US,18.41,-65.95,0
986,PO BOX,0,Carolina,PR,Carolina,America/Puerto_Rico,US,18.4,-65.98,0
987,STANDARD,0,Carolina,PR,Carolina Municipio,America/Puerto_Rico,US,18.34,-65.94,0
988,PO BOX,0,Carolina,PR,Carolina,America/Puerto_Rico,US,18.4,-65.98,0
1001,STANDARD,0,Agawam,MA,Hampden County,America/New_York,US,42.06,-72.61,15240
1002,STANDARD,0,Amherst,MA,Hampshire County,America/New_York,US,42.37,-72.52,16070
1003,STANDARD,0,Amherst,MA,Hampshire County,America/New_York,US,42.39,-72.52,184
1004,PO BOX,0,Amherst,MA,Hampshire County,America/New_York,US,42.37,-72.52,794
1005,STANDARD,0,Barre,MA,Worcester County,America/New_York,US,42.42,-72.1,4420
1007,STANDARD,0,Belchertown,MA,Hampshire County,America/New_York,US,42.27,-72.4,14520
1008,STANDARD,0,Blandford,MA,Hampden County,America/New_York,US,42.18,-72.93,1160
1009,PO BOX,0,Bondsville,MA,Hampden County,America/New_York,US,42.2,-72.34,1238
1010,STANDARD,0,Brimfield,MA,Hampden County,America/New_York,US,42.11,-72.2,3560
1011,STANDARD,0,Chester,MA,Hampden County,America/New_York,US,42.28,-72.98,1050
1012,STANDARD,0,Chesterfield,MA,Hampshire County,America/New_York,US,42.4,-72.85,630
1013,STANDARD,0,Chicopee,MA,Hampden County,America/New_York,US,42.15,-72.6,19020
1014,PO BOX,0,Chicopee,MA,Hampden County,America/New_York,US,42.17,-72.57,354
1020,STANDARD,0,Chicopee,MA,Hampden County,America/New_York,US,42.17,-72.57,25700
1021,PO BOX,0,Chicopee,MA,Hampden County,America/New_York,US,42.17,-72.57,566
1022,STANDARD,0,Chicopee,MA,Hampden County,America/New_York,US,42.2,-72.54,1720
1026,STANDARD,0,Cummington,MA,Hampshire County,America/New_York,US,42.46,-72.9,840
1027,STANDARD,0,Easthampton,MA,Hampshire County,America/New_York,US,42.26,-72.68,16210
1028,STANDARD,0,East Longmeadow,MA,Hampden County,America/New_York,US,42.06,-72.51,15560
1029,PO BOX,0,East Otis,MA,Berkshire County,America/New_York,US,42.17,-73.03,557
1030,STANDARD,0,Feeding Hills,MA,Hampden County,America/New_York,US,42.06,-72.67,10880
1031,STANDARD,0,Gilbertville,MA,Worcester County,America/New_York,US,42.33,-72.2,990
1032,STANDARD,0,Goshen,MA,Hampshire County,America/New_York,US,42.46,-72.81,470
1033,STANDARD,0,Granby,MA,Hampshire County,America/New_York,US,42.26,-72.52,5760
1034,STANDARD,0,Granville,MA,Hampden County,America/New_York,US,42.06,-72.86,1810
1035,STANDARD,0,Hadley,MA,Hampshire County,America/New_York,US,42.35,-72.58,4650
1036,STANDARD,0,Hampden,MA,Hampden County,America/New_York,US,42.06,-72.41,4700
1037,PO BOX,0,Hardwick,MA,Worcester County,America/New_York,US,42.35,-72.2,779
1038,STANDARD,0,Hatfield,MA,Hampshire County,America/New_York,US,42.37,-72.6,2300
1039,STANDARD,0,Haydenville,MA,Hampshire County,America/New_York,US,42.39,-72.7,1320
1040,STANDARD,0,Holyoke,MA,Hampden County,America/New_York,US,42.21,-72.64,29720
1041,PO BOX,0,Holyoke,MA,Hampden County,America/New_York,US,42.21,-72.64,1408
1050,STANDARD,0,Huntington,MA,Hampshire County,America/New_York,US,42.23,-72.88,2270
1053,STANDARD,0,Leeds,MA,Hampshire County,America/New_York,US,42.35,-72.71,1520
1054,STANDARD,0,Leverett,MA,Franklin County,America/New_York,US,42.45,-72.5,1680
1056,STANDARD,0,Ludlow,MA,Hampden County,America/New_York,US,42.16,-72.48,18100
1057,STANDARD,0,Monson,MA,Hampden County,America/New_York,US,42.09,-72.31,7520
1059,PO BOX,0,North Amherst,MA,Hampshire County,America/New_York,US,42.4,-72.52,70
1060,STANDARD,0,Northampton,MA,Hampshire County,America/New_York,US,42.32,-72.63,11010
1061,PO BOX,0,Northampton,MA,Hampshire County,America/New_York,US,42.32,-72.67,469
1062,STANDARD,0,Florence,MA,Hampshire County,America/New_York,US,42.32,-72.67,10010
1063,UNIQUE,0,Northampton,MA,Hampshire County,America/New_York,US,42.32,-72.64,177
1066,PO BOX,0,North Hatfield,MA,Hampshire County,America/New_York,US,42.41,-72.66,402
1068,STANDARD,0,Oakham,MA,Worcester County,America/New_York,US,42.35,-72.05,1790
1069,STANDARD,0,Palmer,MA,Hampden County,America/New_York,US,42.16,-72.32,6950
1070,STANDARD,0,Plainfield,MA,Hampshire County,America/New_York,US,42.51,-72.91,530
1071,STANDARD,0,Russell,MA,Hampden County,America/New_York,US,42.18,-72.85,1440
1072,STANDARD,0,Shutesbury,MA,Franklin County,America/New_York,US,42.45,-72.4,1390
1073,STANDARD,0,Southampton,MA,Hampshire County,America/New_York,US,42.23,-72.73,6050
1074,PO BOX,0,South Barre,MA,Worcester County,America/New_York,US,42.39,-72.09,655
1075,STANDARD,0,South Hadley,MA,Hampshire County,America/New_York,US,42.26,-72.56,14610
1077,STANDARD,0,Southwick,MA,Hampden County,America/New_York,US,42.05,-72.76,8880
1079,PO BOX,0,Thorndike,MA,Hampden County,America/New_York,US,42.2,-72.33,992
1080,STANDARD,0,Three Rivers,MA,Hampden County,America/New_York,US,42.18,-72.37,1960
1081,STANDARD,0,Wales,MA,Hampden County,America/New_York,US,42.06,-72.21,1520
1082,STANDARD,0,Ware,MA,Hampshire County,America/New_York,US,42.25,-72.24,8920
1083,PO BOX,0,Warren,MA,Worcester County,America/New_York,US,42.21,-72.19,3037
1084,STANDARD,0,West Chesterfield,MA,Hampshire County,America/New_York,US,42.39,-72.88,137
1085,STANDARD,0,Westfield,MA,Hampden County,America/New_York,US,42.13,-72.75,34400
1086,PO BOX,0,Westfield,MA,Hampden County,America/New_York,US,42.13,-72.79,886
1088,STANDARD,0,West Hatfield,MA,Hampshire County,America/New_York,US,42.39,-72.64,530
1089,STANDARD,0,West Springfield,MA,Hampden County,America/New_York,US,42.12,-72.65,25250
1090,PO BOX,0,West Springfield,MA,Hampden County,America/New_York,US,42.12,-72.65,510
1092,PO BOX,0,West Warren,MA,Worcester County,America/New_York,US,42.19,-72.24,1332
1093,PO BOX,0,Whately,MA,Franklin County,America/New_York,US,42.44,-72.65,516
1094,PO BOX,0,Wheelwright,MA,Worcester County,America/New_York,US,42.35,-72.14,340
1095,STANDARD,0,Wilbraham,MA,Hampden County,America/New_York,US,42.13,-72.43,14200
1096,STANDARD,0,Williamsburg,MA,Hampshire County,America/New_York,US,42.4,-72.76,2260
1097,PO BOX,0,Woronoco,MA,Hampden County,America/New_York,US,42.18,-72.83,88
1098,STANDARD,0,Worthington,MA,Hampshire County,America/New_York,US,42.41,-72.93,1090
1101,PO BOX,0,Springfield,MA,Hampden County,America/New_York,US,42.11,-72.53,2038
1102,PO BOX,0,Springfield,MA,Hampden County,America/New_York,US,42.11,-72.53,0
1103,STANDARD,0,Springfield,MA,Hampden County,America/New_York,US,42.1,-72.59,1660
1104,STANDARD,0,Springfield,MA,Hampden County,America/New_York,US,42.13,-72.57,19740
1105,STANDARD,0,Springfield,MA,Hampden County,America/New_York,US,42.1,-72.58,7930
1106,STANDARD,0,Longmeadow,MA,Hampden County,America/New_York,US,42.04,-72.57,15310
1107,STANDARD,0,Springfield,MA,Hampden County,America/New_York,US,42.12,-72.61,8170
1108,STANDARD,0,Springfield,MA,Hampden County,America/New_York,US,42.08,-72.56,22420
1109,STANDARD,0,Springfield,MA,Hampden County,America/New_York,US,42.11,-72.53,22080
1111,UNIQUE,0,Springfield,MA,Hampden County,America/New_York,US,42.11,-72.53,0
1115,PO BOX,0,Springfield,MA,Hampden County,America/New_York,US,42.11,-72.53,25
1116,PO BOX,0,Longmeadow,MA,Hampden County,America/New_York,US,42.04,-72.57,82
1118,STANDARD,0,Springfield,MA,Hampden County,America/New_York,US,42.09,-72.53,13060
1119,STANDARD,0,Springfield,MA,Hampden County,America/New_York,US,42.12,-72.51,10910
1128,STANDARD,0,Springfield,MA,Hampden County,America/New_York,US,42.09,-72.49,2560
1129,STANDARD,0,Springfield,MA,Hampden County,America/New_York,US,42.12,-72.49,6490
1133,UNIQUE,1,Springfield,MA,Hampden County,America/New_York,US,42.1,-72.59,0
1138,PO BOX,0,Springfield,MA,Hampden County,America/New_York,US,42.11,-72.53,688
1139,PO BOX,0,Springfield,MA,Hampden County,America/New_York,US,42.11,-72.53,467
1144,STANDARD,0,Springfield,MA,Hampden County,America/New_York,US,42.11,-72.53,0
1151,STANDARD,0,Indian Orchard,MA,Hampden County,America/New_York,US,42.15,-72.51,7700
1152,STANDARD,0,Springfield,MA,Hampden County,America/New_York,US,42.11,-72.53,0
1195,STANDARD,1,Springfield,MA,Hampden County,America/New_York,US,42.1,-72.58,0
